,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""","In the last 12 months, have you done any of the following in Karachi? Please select all that apply",Do you trust Karachi's various administrative bodies and caretakers with your well-being?,Have you given feedback or participated in the design process of any public project in Karachi?
82,11dup,25 - 44 years,Female,"125,001 - 150,000 rupees",North Nazimabad Town,"Visit a natural area (hills, lakes, mangroves, etc)",,
83,12,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
84,12dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit cultural events on the street or at public squares,,
85,12dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
86,12dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
87,12dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Participate in a protest,,
88,12dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit an outdoors bazaar,,
89,12dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
90,13,25 - 44 years,Female,"175,000 - 200,000 rupees",Ferozabad,Visit a park for a walks or leisure,No - I do not trust them,Yes - I would like more opportunities to participate
91,13dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Ferozabad,Practice some sport of physical activity on a regular basis,,
92,13dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Ferozabad,Visit an outdoors bazaar,,
93,13dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Ferozabad,Visit an indoors bazaar/mall,,
